"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2014","Albania","Population on 1 January - total ","2,895,947","e"
"2014","Serbia","Population on 1 January - total ","7,146,759",""
"2014","Turkey","Population on 1 January - total ","76,667,864",""
"2014","Andorra","Population on 1 January - total ",":",""
"2014","Belarus","Population on 1 January - total ","9,468,154",""
"2014","Bosnia and Herzegovina","Population on 1 January - total ","3,830,911","p"
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - total ","1,820,631","e"
"2014","Moldova","Population on 1 January - total ","3,557,634",""
"2014","Monaco","Population on 1 January - total ",":",""
"2014","Russia","Population on 1 January - total ","143,666,931",""
"2014","San Marino","Population on 1 January - total ","32,520",""
"2014","Ukraine","Population on 1 January - total ","45,245,894",""
"2014","Armenia","Population on 1 January - total ",":",""
"2015","Belgium","Population on 1 January - total ","11,237,274",""
"2015","Bulgaria","Population on 1 January - total ","7,202,198",""
"2015","Czech Republic","Population on 1 January - total ","10,538,275",""
"2015","Denmark","Population on 1 January - total ","5,659,715",""
"2015","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","81,197,537",""
"2015","Germany (including former GDR)","Population on 1 January - total ","81,197,537",""
"2015","Estonia","Population on 1 January - total ","1,314,870","b"
"2015","Ireland","Population on 1 January - total ","4,628,949","p"
"2015","Greece","Population on 1 January - total ","10,858,018",""
"2015","Spain","Population on 1 January - total ","46,449,565",""
"2015","France","Population on 1 January - total ","66,488,186","bp"
"2015","France (metropolitan)","Population on 1 January - total ",":",""
"2015","Croatia","Population on 1 January - total ","4,225,316",""
"2015","Italy","Population on 1 January - total ","60,795,612",""
"2015","Cyprus","Population on 1 January - total ","847,008",""
"2015","Latvia","Population on 1 January - total ","1,986,096",""
"2015","Lithuania","Population on 1 January - total ","2,921,262",""
"2015","Luxembourg","Population on 1 January - total ","562,958",""
"2015","Hungary","Population on 1 January - total ","9,855,571",""
"2015","Malta","Population on 1 January - total ","429,344",""
"2015","Netherlands","Population on 1 January - total ","16,900,726",""
"2015","Austria","Population on 1 January - total ","8,576,261",""
"2015","Poland","Population on 1 January - total ","38,005,614",""
"2015","Portugal","Population on 1 January - total ","10,374,822","e"
"2015","Romania","Population on 1 January - total ","19,870,647","e"
"2015","Slovenia","Population on 1 January - total ","2,062,874",""
"2015","Slovakia","Population on 1 January - total ","5,421,349",""
"2015","Finland","Population on 1 January - total ","5,471,753",""
"2015","Sweden","Population on 1 January - total ","9,747,355",""
"2015","United Kingdom","Population on 1 January - total ","64,875,165","e"
"2015","European Economic Area (EU-28 plus IS, LI, NO)","Population on 1 January - total ","514,037,279","bep"
"2015","European Economic Area (EU-27 plus IS, LI, NO)","Population on 1 January - total ","509,811,963","bep"
"2015","European Free Trade Association","Population on 1 January - total ","13,770,625",""
"2015","Iceland","Population on 1 January - total ","329,100",""
"2015","Liechtenstein","Population on 1 January - total ","37,366",""
"2015","Norway","Population on 1 January - total ","5,166,493",""
"2015","Switzerland","Population on 1 January - total ","8,237,666",""
"2015","Montenegro","Population on 1 January - total ","622,099",""
"2015","Former Yugoslav Republic of Macedonia, the","Population on 1 January - total ","2,069,172",""
"2015","Albania","Population on 1 January - total ","2,892,302","e"
"2015","Serbia","Population on 1 January - total ","7,114,393",""
"2015","Turkey","Population on 1 January - total ","77,695,904",""
"2015","Andorra","Population on 1 January - total ",":",""
"2015","Belarus","Population on 1 January - total ","9,480,868","e"
"2015","Bosnia and Herzegovina","Population on 1 January - total ",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - total ","1,804,944",""
"2015","Moldova","Population on 1 January - total ","3,555,159","e"
"2015","Monaco","Population on 1 January - total ","37,700","e"
"2015","Russia","Population on 1 January - total ",":",""
"2015","San Marino","Population on 1 January - total ","32,789",""
"2015","Ukraine","Population on 1 January - total ",":",""
"2015","Armenia","Population on 1 January - total ",":",""
